Product Id,Category Id,Product Name,Product Price
19,2,Nike Men's Fingertrap Max Training Shoe,124.9899979
24,2,Elevation Training Mask 2.0,79.98999786
35,3,adidas Brazuca 2014 Official Match Ball,159.9900055
37,3,adidas Kids' F5 Messi FG Soccer Cleat,34.99000168
44,3,adidas Men's F10 Messi TRX FG Soccer Cleat,59.99000168
58,4,Diamondback Boys' Insight 24 Performance Hybr,299.9899902
60,4,SOLE E25 Elliptical,999.9899902
61,4,Diamondback Girls' Clarity 24 Hybrid Bike 201,299.9899902
78,5,Nike Kids' Grade School KD VI Basketball Shoe,99.98999786
93,5,Under Armour Men's Tech II T-Shirt,24.98999977
116,6,Nike Men's Comfort 2 Slide,44.99000168
127,7,Stiga Master Series ST3100 Competition Indoor,329.9899902
134,7,Nike Women's Legend V-Neck T-Shirt,25
135,7,Nike Dri-FIT Crew Sock 6 Pack,22
172,9,Nike Women's Tempo Shorts,30
191,9,Nike Men's Free 5.0+ Running Shoe,99.98999786
203,10,GoPro HERO3+ Black Edition Camera,399.9899902
208,10,SOLE E35 Elliptical,1999.98999
216,10,Yakima DoubleDown Ace Hitch Mount 4-Bike Rack,189
226,11,Bowflex SelectTech 1090 Dumbbells,599.9899902
235,11,Under Armour Hustle Storm Medium Duffle Bag,34.99000168
249,12,Under Armour Women's Micro G Skulpt Running S,54.97000122
251,12,Brooks Women's Ghost 6 Running Shoe,89.98999786
258,12,Nike Women's Free 5.0 TR FIT PRT 4 Training S,94.98999786
273,13,Under Armour Kids' Mercenary Slide,27.98999977
276,13,Under Armour Women's Ignite Slide,31.98999977
278,13,Under Armour Men's Compression EV SL Slide,44.99000168
282,13,Under Armour Women's Ignite PIP VI Slide,31.98999977
295,38,Fitbit The One Wireless Activity & Sleep Trac,99.94999695
303,38,Garmin Forerunner 910XT GPS Watch,399.9899902
305,38,Mio ALPHA Heart Rate Monitor/Sport Watch,199
306,38,Polar FT4 Heart Rate Monitor,89.98999786
311,38,Polar Loop Activity Tracker,109.9499969
359,16,Nike Men's Free TR 5.0 TB Training Shoe,99.98999786
364,17,Total Gym 1400,299.9899902
365,17,Perfect Fitness Perfect Rip Deck,59.99000168
403,18,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055
502,24,Nike Men's Dri-FIT Victory Golf Polo,50
564,26,Nike Men's Deutschland Weltmeister Winners Bl,30
565,26,adidas Youth Germany Black/Red Away Match Soc,70
567,26,adidas Men's Germany Black Crest Away Tee,25
572,26,TYR Boys' Team Digi Jammer,39.99000168
607,41,Garmin Approach S3 Golf GPS Watch,249.9900055
625,29,Nike Men's Kobe IX Elite Low Basketball Shoe,199.9900055
627,29,Under Armour Girls' Toddler Spine Surge Runni,39.99000168
642,29,Columbia Men's PFG Anchor Tough T-Shirt,30
646,30,Merrell Women's Grassbow Sport Hiking Shoe,99.98999786
647,30,Merrell Women's Siren Mid Waterproof Hiking B,134.9900055
652,30,Merrell Women's Grassbow Sport Waterproof Hik,129.9900055
666,30,Merrell Men's All Out Flash Trail Running Sho,109.9899979
671,31,Cleveland Golf Collegiate My Custom Wedge 588,209.9900055
677,31,TaylorMade White Smoke IN-12 Putter,99.98999786
691,31,MDGolf Pittsburgh Penguins Putter,79.98999786
703,32,Top Flite Women's 2014 XL Hybrid,19.98999977
705,32,Cleveland Golf Women's 588 RTX CB Satin Chrom,119.9899979
715,32,TaylorMade Women's RBZ SL Rescue,129.9900055
724,33,LIJA Women's Mid-Length Panel Golf Shorts,100
725,33,LIJA Women's Button Golf Dress,108
728,33,LIJA Women's Eyelet Sleeveless Golf Polo,65
730,33,LIJA Women's Argyle Golf Polo,80
743,34,Ogio Race Golf Shoes,169.9900055
768,35,Titleist Club Glove Travel Cover,299.9899902
771,35,Clicgear Rovic Cooler Bag,39.99000168
773,35,Titleist Small Wheeled Travel Cover,249.9900055
775,35,Clicgear 8.0 Shoe Brush,9.989999771
777,35,Bag Boy M330 Push Cart,79.98999786
778,35,Bag Boy Beverage Holder,24.98999977
786,35,TaylorMade 2014 Purelite Stand Bag,179.9900055
792,36,Hirzl Men's Hybrid Golf Glove,14.98999977
793,36,Hirzl Women's Hybrid Golf Glove,14.98999977
797,36,Hirzl Women's Soffft Flex Golf Glove,17.98999977
804,36,Glove It Women's Imperial Golf Glove,19.98999977
810,36,Glove It Women's Mod Oval Golf Glove,19.98999977
818,37,Titleist Pro V1x Golf Balls,47.99000168
821,37,Titleist Pro V1 High Numbers Personalized Gol,51.99000168
822,37,Titleist Pro V1x High Numbers Golf Balls,47.99000168
823,37,Titleist Pro V1x High Numbers Personalized Go,51.99000168
825,37,Bridgestone e6 Straight Distance NFL Tennesse,31.98999977
828,37,Bridgestone e6 Straight Distance NFL San Dieg,31.98999977
835,37,Bridgestone e6 Straight Distance NFL Carolina,31.98999977
845,38,Garmin Approach S4 Golf GPS Watch,299.9899902
858,38,GolfBuddy VT3 GPS Watch,199.9900055
860,38,Bushnell Pro X7 Jolt Slope Rangefinder,599.9899902
885,40,Team Golf St. Louis Cardinals Putter Grip,24.98999977
886,40,Team Golf San Francisco Giants Putter Grip,24.98999977
893,40,Team Golf Pittsburgh Steelers Putter Grip,24.98999977
897,40,Team Golf New England Patriots Putter Grip,24.98999977
905,40,Team Golf Texas Longhorns Putter Grip,24.98999977
906,40,Team Golf Tennessee Volunteers Putter Grip,24.98999977
917,41,Glove It Women's Mod Oval 3-Zip Carry All Gol,21.98999977
924,41,Glove It Urban Brick Golf Towel,15.98999977
926,41,Glove It Imperial Golf Towel,15.98999977
957,43,Diamondback Women's Serene Classic Comfort Bi,299.980011
977,44,ENO Atlas Hammock Straps,29.98999977
981,44,The North Face Women's Recon Backpack,99
982,44,insta-bed Neverflat Air Mattress,149.9900055
1004,45,Field & Stream Sportsman 16 Gun Fire Safe,399.980011
1014,46,O'Brien Men's Neoprene Life Vest,49.97999954
1059,48,Pelican Maverick 100X Kayak,349.9899902
1073,48,Pelican Sunstream 100 Kayak,199.9900055
1346,59,Sports Books,31.07999992
1347,60,Baby sweater,59.08000183
1348,61,CDs of rock,11.28999996
1349,62,Web Camera,452.0400085
1350,63,Children's heaters,357.1000061
1351,64,Dell Laptop,1500
1352,65,Industrial consumer electronics,252.8800049
1353,66,Porcelain crafts,461.480011
1354,67,DVDs,164.3800049
1355,68,Lawn mower,532.5800171
1356,69,First aid kit,293.0400085
1357,70,Men's gala suit,210.8500061
1358,71,Rock music,260.6499939
1359,72,Adult dog supplies,84.40000153
1360,73,Smart watch,327.75
1361,74,Toys,11.53999996
1362,75,Fighting video games,39.75
1363,76,Summer dresses,215.8200073
